Loading file decode
0 0x800007d0: lui    sp, 0x80020000
1 0x800007d4: jal    ra, 0x80000810
2 0x80000810: addi   sp, sp, -16
3 0x80000814: sw     ra, 0(sp)
4 0x80000818: addi   sp, sp, -256
5 0x8000081c: addi   t0, zero, 0
6 0x80000820: addi   t1, zero, 1
7 0x80000824: auipc  t2, 0x0f000
8 0x80000828: addi   t2, t2, 2012
9 0x8000082c: auipc  t3, 0x0f000
10 0x80000830: addi   t3, t3, 2028
11 0x80000834: addi   t6, zero, 0
12 0x80000838: addi   s1, zero, 4
13 0x8000083c: lw     t4, 0(t2)
14 0x80000840: addi   a0, t4, 4
15 0x80000844: lw     a1, 0(t4)
16 0x80000848: addi   a2, sp, 0
17 0x8000084c: addi   a3, zero, 256
18 0x80000850: jal    ra, 0x800000a8
19 0x800000a8: addi   a5, zero, 4
20 0x800000ac: bltu   a5, a1, 0x800000b8
21 0x800000b8: addi   sp, sp, -128
22 0x800000bc: sw     a2, 96(sp)
23 0x800000c0: sw     a3, 68(sp)
24 0x800000c4: sw     ra, 72(sp)
25 0x800000c8: lw     a5, 0(a0)
26 0x800000cc: jal    ra, 0x80000000
27 0x80000000: sw     a0, 92(sp)
28 0x80000004: sw     a1, 64(sp)
29 0x80000008: srli   a4, a5, 28
30 0x8000000c: sw     a4, 24(sp)
31 0x80000010: slli   a4, a5, 4
32 0x80000014: srli   a4, a4, 28
33 0x80000018: sw     a4, 28(sp)
34 0x8000001c: slli   a4, a5, 8
35 0x80000020: srli   a4, a4, 28
36 0x80000024: sw     a4, 16(sp)
37 0x80000028: slli   a4, a5, 12
38 0x8000002c: srli   a4, a4, 28
39 0x80000030: sw     a4, 20(sp)
40 0x80000034: slli   a4, a5, 16
41 0x80000038: srli   a4, a4, 28
42 0x8000003c: sw     a4, 8(sp)
43 0x80000040: slli   a4, a5, 20
44 0x80000044: srli   a4, a4, 28
45 0x80000048: sw     a4, 12(sp)
46 0x8000004c: slli   a4, a5, 24
47 0x80000050: srli   a4, a4, 28
48 0x80000054: sw     a4, 0(sp)
49 0x80000058: andi   a4, a5, 15
50 0x8000005c: sw     a4, 4(sp)
51 0x80000060: addi   a2, sp, 32
52 0x80000064: addi   a3, zero, 0
53 0x80000068: addi   a4, zero, 0
54 0x8000006c: addi   a4, zero, 0
55 0x80000070: add    a1, sp, a4
56 0x80000074: lw     a1, 0(a1)
57 0x80000078: beq    a3, a1, 0x80000090
58 0x80000090: addi   a3, a3, 1
59 0x80000094: addi   a0, zero, 16
60 0x80000098: bltu   a3, a0, 0x8000006c
61 0x8000006c: addi   a4, zero, 0
62 0x80000070: add    a1, sp, a4
63 0x80000074: lw     a1, 0(a1)
64 0x80000078: beq    a3, a1, 0x80000090
65 0x8000007c: addi   a4, a4, 4
66 0x80000080: addi   a0, zero, 32
67 0x80000084: bltu   a4, a0, 0x80000070
68 0x80000070: add    a1, sp, a4
69 0x80000074: lw     a1, 0(a1)
70 0x80000078: beq    a3, a1, 0x80000090
71 0x8000007c: addi   a4, a4, 4
72 0x80000080: addi   a0, zero, 32
73 0x80000084: bltu   a4, a0, 0x80000070
74 0x80000070: add    a1, sp, a4
75 0x80000074: lw     a1, 0(a1)
76 0x80000078: beq    a3, a1, 0x80000090
77 0x8000007c: addi   a4, a4, 4
78 0x80000080: addi   a0, zero, 32
79 0x80000084: bltu   a4, a0, 0x80000070
80 0x80000070: add    a1, sp, a4
81 0x80000074: lw     a1, 0(a1)
82 0x80000078: beq    a3, a1, 0x80000090
83 0x8000007c: addi   a4, a4, 4
84 0x80000080: addi   a0, zero, 32
85 0x80000084: bltu   a4, a0, 0x80000070
86 0x80000070: add    a1, sp, a4
87 0x80000074: lw     a1, 0(a1)
88 0x80000078: beq    a3, a1, 0x80000090
89 0x80000090: addi   a3, a3, 1
90 0x80000094: addi   a0, zero, 16
91 0x80000098: bltu   a3, a0, 0x8000006c
92 0x8000006c: addi   a4, zero, 0
93 0x80000070: add    a1, sp, a4
94 0x80000074: lw     a1, 0(a1)
95 0x80000078: beq    a3, a1, 0x80000090
96 0x8000007c: addi   a4, a4, 4
97 0x80000080: addi   a0, zero, 32
98 0x80000084: bltu   a4, a0, 0x80000070
99 0x80000070: add    a1, sp, a4
100 0x80000074: lw     a1, 0(a1)
101 0x80000078: beq    a3, a1, 0x80000090
102 0x80000090: addi   a3, a3, 1
103 0x80000094: addi   a0, zero, 16
